supply condition
v1: vcc
v2: vccn
v3: NA
vcc_vid: vcc_ff_h#0.675,0.75,0.88; vcc_ff_c#0.675,0.75,0.88; vcc_tt_h#0.675,0.75,0.935; vcc_tt_c#0.69,0.78,0.935; vcc_ss_h#0.69,0.75,0.935; vcc_ss_c#0.69,0.78,0.935
vccana: 0.715,0.75,0.785
vccn: 0.99,1.1,1.188
vcctx: "0.5*vcn","0.5*vcn","0.5*vcn"

process	extract	temp	v1	v2	ioh_0	ioh	ioh0	ioh1	rwkpull0	rwkpull_vih	rwkpull_vih2	vwkp	vwkp_drop	temper	alter#																																																																																									
SFG	typical	-40	max	max	-1.64168105e-04	-5.75929822e-05	-5.06706226e-05	-6.45263045e-05	7.23648481e+03	7.21962962e+03	7.21725575e+03	1.18600616e+00	1.99383617e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SFG	typical	-40	nom	nom	-1.50385206e-04	-5.23885811e-05	-4.55864877e-05	-5.92014964e-05	7.31454926e+03	7.34892970e+03	7.34483560e+03	1.09923109e+00	7.68910159e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SFG	typical	125	min	min	-4.66096667e-04	-1.98725028e-04	-1.80556982e-04	-2.16958895e-04	2.12402291e+03	1.74361530e+03	2.74710843e+03	9.82901217e-01	7.09878302e-03	1.25000000e+02	1.00000000e+00																																																																																									
SFG	typical	125	min	max	-5.71508750e-04	-2.38600159e-04	-2.19988783e-04	-2.57217520e-04	2.07870833e+03	1.74266439e+03	2.68609702e+03	1.18123689e+00	6.76310897e-03	1.25000000e+02	1.00000000e+00																																																																																									
SFG	typical	125	max	min	-4.66854188e-04	-1.98839981e-04	-1.80582635e-04	-2.17129416e-04	2.12057646e+03	1.74260729e+03	2.73621914e+03	9.80967814e-01	9.03218583e-03	1.25000000e+02	1.00000000e+00																																																																																									
SFG	typical	125	max	max	-5.72151380e-04	-2.38130620e-04	-2.18924528e-04	-2.57092478e-04	2.07637356e+03	1.74610053e+03	2.61999925e+03	1.17859192e+00	9.40808400e-03	1.25000000e+02	1.00000000e+00																																																																																									
SFG	typical	125	nom	nom	-5.22795569e-04	-2.18489007e-04	-1.99780890e-04	-2.37295430e-04	2.10407292e+03	1.76210238e+03	2.66563309e+03	1.09253013e+00	7.46986726e-03	1.25000000e+02	1.00000000e+00																																																																																									
FFG	typical	-40	min	min	-1.55729166e-04	-5.41666701e-05	-4.63469694e-05	-6.20009685e-05	6.35719066e+03	6.39692267e+03	6.38814395e+03	9.88499035e-01	1.50096459e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG	typical	-40	min	max	-1.89769990e-04	-6.66479599e-05	-5.86443933e-05	-7.46769139e-05	6.26021007e+03	6.23875060e+03	6.23732241e+03	1.18656726e+00	1.43273955e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG	typical	-40	max	min	-1.55860601e-04	-5.41634370e-05	-4.63433430e-05	-6.19998661e-05	6.35182974e+03	6.39730451e+03	6.38711412e+03	9.87509282e-01	2.49071821e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG	typical	-40	max	max	-1.89901294e-04	-6.66257834e-05	-5.85978815e-05	-7.46697598e-05	6.25588154e+03	6.24082718e+03	6.22204810e+03	1.18550440e+00	2.49559682e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG	typical	-40	nom	nom	-1.74158197e-04	-6.06423651e-05	-5.27551616e-05	-6.85486304e-05	6.31609663e+03	6.34869698e+03	6.33173126e+03	1.09826640e+00	1.73359728e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG	typical	125	min	min	-6.60457108e-04	-2.74735486e-04	-2.49098956e-04	-3.00193256e-04	1.49896184e+03	1.26121312e+03	1.95716548e+03	9.77151036e-01	1.28489639e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG	typical	125	min	max	-7.94879133e-04	-3.29074387e-04	-3.03918111e-04	-3.53967254e-04	1.49456685e+03	1.26354410e+03	1.99803621e+03	1.17569301e+00	1.23069851e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG	typical	125	max	min	-6.61433885e-04	-2.74915113e-04	-2.49123043e-04	-3.00495337e-04	1.49674824e+03	1.26038905e+03	1.94657454e+03	9.74569047e-01	1.54309533e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG	typical	125	max	max	-7.95628166e-04	-3.27796519e-04	-3.01188052e-04	-3.53616786e-04	1.49315981e+03	1.26846985e+03	1.90735101e+03	1.17286616e+00	1.51338428e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG	typical	125	nom	nom	-7.36638209e-04	-3.03113604e-04	-2.76788182e-04	-3.29287209e-04	1.49327035e+03	1.27015084e+03	1.90479720e+03	1.08652860e+00	1.34713995e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFAG	typical	-40	min	min	-1.55510892e-04	-5.39419860e-05	-4.61278115e-05	-6.17765838e-05	6.36611359e+03	6.42356773e+03	6.39027764e+03	9.88818522e-01	1.18147759e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFAG	typical	-40	min	max	-1.89907862e-04	-6.64585921e-05	-5.84164445e-05	-7.45298757e-05	6.25566518e+03	6.25652736e+03	6.20600282e+03	1.18683969e+00	1.16030804e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFAG	typical	-40	max	min	-1.55628433e-04	-5.39402486e-05	-4.61235317e-05	-6.17749069e-05	6.36130547e+03	6.42377462e+03	6.38921494e+03	9.87870303e-01	2.12969679e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFAG	typical	-40	max	max	-1.90025296e-04	-6.64345999e-05	-5.83677155e-05	-7.45215773e-05	6.25179925e+03	6.25878685e+03	6.19047019e+03	1.18581655e+00	2.18345338e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFAG	typical	-40	nom	nom	-1.74139971e-04	-6.04313732e-05	-5.25342987e-05	-6.83569184e-05	6.31675768e+03	6.37086301e+03	6.32006594e+03	1.09857478e+00	1.42521656e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFAG	typical	125	min	min	-6.29444146e-04	-2.41823406e-04	-2.15930092e-04	-2.67969996e-04	1.57281628e+03	1.43286378e+03	1.92160233e+03	9.76438269e-01	1.35617312e-02	1.25000000e+02	1.00000000e+00																																																																																									
