rail,func_min,perf_min,nom,perf_max,func_max,htol,hvqk
vcc,0.68,0.69,0.78,0.88,0.89,0.945,1.6
vcc_min_0p54,0.54,0.54,0.78,0.96,0.96,0.945,1.6
vccana_max_0p96,0.54,0.54,0.75,0.96,0.96,0.945,1.6
vcc_vid_ff_h,0.665,0.675,0.75,0.88,0.89,0.945,1.6
vcc_vid_ff_c,0.665,0.675,0.75,0.88,0.89,0.945,1.6
vcc_vid_tt_h,0.665,0.675,0.75,0.935,0.945,0.945,1.6
vcc_vid_tt_c,0.68,0.69,0.78,0.935,0.945,0.945,1.6
vcc_vid_ss_h,0.68,0.69,0.75,0.935,0.945,0.945,1.6
vcc_vid_ss_c,0.68,0.69,0.78,0.935,0.945,0.945,1.6
vccana,0.705,0.715,0.75,0.785,0.795,0.945,1.6
vccana_0p70v,0.655,0.665,0.70,0.735,0.745,0.945,1.6
vcctx_700,0.665,0.675,0.7,0.725,0.735,0.623,0.825
vcctx_650,0.615,0.625,0.65,0.675,0.685,0.623,0.825
vcctx_600,0.565,0.575,0.6,0.625,0.635,0.623,0.825
vcctx_550,0.515,0.525,0.55,0.575,0.585,0.623,0.825
vcctx_525,0.49,0.5,0.525,0.55,0.56,0.623,0.825
vcctx_500,0.465,0.475,0.5,0.525,0.535,0.623,0.825
vcctx_400,0.378,0.388,0.4,0.412,0.422,0.623,0.825
vcctx_NA,"0.5*vcn","0.5*vcn","0.5*vcn","0.5*vcn","0.5*vcn","0.5*vcn","0.5*vcn"
1p1v,0.98,0.99,1.1,1.188,1.198,1.246,1.65
1p05v,0.935,0.945,1.05,1.134,1.144,1.246,1.65
1p0v,0.89,0.9,1,1.08,1.09,1.246,1.65
