supply condition
v1: vcc
v2: vccn
v3: NA
vcc_vid: vcc_ff_h#0.63,0.7,0.756; vcc_ff_c#0.675,0.75,0.81; vcc_tt_h#0.63,0.7,0.756; vcc_tt_c#0.675,0.75,0.81; vcc_ss_h#0.675,0.75,0.81; vcc_ss_c#0.72,0.8,0.864
vccana: 0.725,0.75,0.775
vccn: 0.99,1.1,1.188
vcctx: 0.575,0.6,0.625

process	extract	temp	v1	v2	ioh_0	ioh	ioh0	ioh1	rwkpull0	rwkpull_vih	rwkpull_vih2	vwkp	vwkp_drop	temper	alter#																																																																																									
SFG	typical	-40	max	max	-1.61352079e-04	-5.68998963e-05	-5.00399051e-05	-6.37724268e-05	7.36278089e+03	7.30757044e+03	7.28198376e+03	1.18696860e+00	1.03139507e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SFG	typical	-40	nom	nom	-1.47939144e-04	-5.17069829e-05	-4.49687490e-05	-5.84522750e-05	7.43548985e+03	7.44580283e+03	7.41645764e+03	1.09919757e+00	8.02430932e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SFG	typical	125	min	min	-2.66268283e-04	-1.01369352e-04	-8.97990405e-05	-1.12532898e-04	3.71805454e+03	3.41819292e+03	4.39872554e+03	9.65074256e-01	2.49257441e-02	1.25000000e+02	1.00000000e+00																																																																																									
SFG	typical	125	min	max	-3.32269552e-04	-1.34283342e-04	-1.21897468e-04	-1.46605197e-04	3.57541036e+03	3.09643767e+03	4.04731653e+03	1.16487420e+00	2.31258022e-02	1.25000000e+02	1.00000000e+00																																																																																									
SFG	typical	125	max	min	-2.66350871e-04	-1.01211384e-04	-8.94371716e-05	-1.12470210e-04	3.71690168e+03	3.42352792e+03	4.34158952e+03	9.62754956e-01	2.72450436e-02	1.25000000e+02	1.00000000e+00																																																																																									
SFG	typical	125	max	max	-3.32351721e-04	-1.33248067e-04	-1.20362440e-04	-1.46044350e-04	3.57452639e+03	3.12049554e+03	3.89379133e+03	1.16291705e+00	2.50829547e-02	1.25000000e+02	1.00000000e+00																																																																																									
SFG	typical	125	nom	nom	-2.98844375e-04	-1.16655108e-04	-1.04473029e-04	-1.28651357e-04	3.68084559e+03	3.30032698e+03	4.13593531e+03	1.07462206e+00	2.53779389e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG	typical	-40	min	min	-1.52990232e-04	-5.32462059e-05	-4.55160031e-05	-6.09870431e-05	6.47100137e+03	6.50750591e+03	6.46368957e+03	9.88095065e-01	1.90493457e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG	typical	-40	min	max	-1.86208435e-04	-6.56744118e-05	-5.77580207e-05	-7.36148051e-05	6.37994729e+03	6.33123295e+03	6.30644886e+03	1.18624268e+00	1.75732188e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG	typical	-40	max	min	-1.53052339e-04	-5.32392076e-05	-4.54995350e-05	-6.09839862e-05	6.46837552e+03	6.50836133e+03	6.45809134e+03	9.87409735e-01	2.59026503e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG	typical	-40	max	max	-1.86270506e-04	-6.56252922e-05	-5.76827487e-05	-7.35891790e-05	6.37782130e+03	6.33597179e+03	6.28676565e+03	1.18557877e+00	2.42123409e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG	typical	-40	nom	nom	-1.70826181e-04	-5.96680337e-05	-5.18686035e-05	-6.74811470e-05	6.43929400e+03	6.45236613e+03	6.40510625e+03	1.09782164e+00	2.17836135e-03	-4.00000000e+01	1.00000000e+00																																																																																									
FFG	typical	125	min	min	-4.11988977e-04	-1.50663720e-04	-1.34065918e-04	-1.66284846e-04	2.40297692e+03	2.29982374e+03	3.10376563e+03	9.57791853e-01	3.22081470e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG	typical	125	min	max	-5.02183816e-04	-1.98716793e-04	-1.81384931e-04	-2.15776988e-04	2.36566763e+03	2.09242507e+03	2.90764811e+03	1.15854708e+00	2.94529229e-02	1.25000000e+02	1.00000000e+00																																																																																									
