supply condition
v1: vcc
v2: vccn
v3: NA
vcc_vid: vcc_ff_h#0.63,0.7,0.756; vcc_ff_c#0.675,0.75,0.81; vcc_tt_h#0.63,0.7,0.756; vcc_tt_c#0.675,0.75,0.81; vcc_ss_h#0.675,0.75,0.81; vcc_ss_c#0.72,0.8,0.864
vccana: 0.725,0.75,0.775
vccn: 0.99,1.1,1.188
vcctx: 0.575,0.6,0.625

process	extract	temp	v1	v2	ioh_0	ioh	ioh0	ioh1	rwkpull0	rwkpull_vih	rwkpull_vih2	vwkp	vwkp_drop	temper	alter#																																																																																									
SFG	typical	-40	max	max	-5.45138827e-04	-1.86994799e-04	-1.64372267e-04	-2.09681755e-04	2.17926139e+03	2.22359126e+03	2.20704326e+03	1.18764744e+00	3.52560854e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SFG	typical	-40	nom	nom	-5.01096147e-04	-1.71967482e-04	-1.49510847e-04	-1.94478526e-04	2.19518750e+03	2.23879535e+03	2.22381950e+03	1.09974495e+00	2.55052130e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SFG	typical	125	min	min	-5.84485341e-04	-2.10349680e-04	-1.82899233e-04	-2.37477757e-04	1.69379783e+03	1.64725708e+03	1.83222251e+03	9.70989390e-01	1.90106100e-02	1.25000000e+02	1.00000000e+00																																																																																									
SFG	typical	125	min	max	-7.18619770e-04	-2.65408363e-04	-2.37090154e-04	-2.93737102e-04	1.65316910e+03	1.56664242e+03	1.76532018e+03	1.16949444e+00	1.85055601e-02	1.25000000e+02	1.00000000e+00																																																																																									
SFG	typical	125	max	min	-5.84567489e-04	-2.10187995e-04	-1.82533301e-04	-2.37414688e-04	1.69355980e+03	1.64852422e+03	1.82211137e+03	9.69388901e-01	2.06110990e-02	1.25000000e+02	1.00000000e+00																																																																																									
SFG	typical	125	max	max	-7.18701408e-04	-2.64371030e-04	-2.35554054e-04	-2.93174333e-04	1.65298132e+03	1.57278957e+03	1.73550009e+03	1.16804302e+00	1.99569829e-02	1.25000000e+02	1.00000000e+00																																																																																									
SFG	typical	125	nom	nom	-6.54798768e-04	-2.37983315e-04	-2.09891424e-04	-2.65972289e-04	1.67990542e+03	1.61776047e+03	1.78313940e+03	1.08026492e+00	1.97350844e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG	typical	-40	min	min	-5.13676897e-04	-1.76697465e-04	-1.51062463e-04	-2.02390743e-04	1.92728154e+03	1.96097890e+03	1.94824373e+03	9.89391629e-01	6.08371086e-04	-4.00000000e+01	1.00000000e+00																																																																																									
FFG	typical	-40	min	max	-6.25465216e-04	-2.14522512e-04	-1.88570840e-04	-2.40559060e-04	1.89938620e+03	1.93825812e+03	1.92351269e+03	1.18738316e+00	6.16836092e-04	-4.00000000e+01	1.00000000e+00																																																																																									
FFG	typical	-40	max	min	-5.13738601e-04	-1.76690443e-04	-1.51045955e-04	-2.02387679e-04	1.92705005e+03	1.96105683e+03	1.94773361e+03	9.89172691e-01	8.27308622e-04	-4.00000000e+01	1.00000000e+00																																																																																									
FFG	typical	-40	max	max	-6.25526805e-04	-2.14473271e-04	-1.88495507e-04	-2.40533337e-04	1.89919919e+03	1.93870312e+03	1.92167891e+03	1.18715084e+00	8.49155255e-04	-4.00000000e+01	1.00000000e+00																																																																																									
FFG	typical	-40	nom	nom	-5.74959005e-04	-1.97251094e-04	-1.71469503e-04	-2.23102230e-04	1.91317988e+03	1.95182695e+03	1.93675613e+03	1.09928322e+00	7.16784807e-04	-4.00000000e+01	1.00000000e+00																																																																																									
FFG	typical	125	min	min	-7.73690985e-04	-2.74171090e-04	-2.39455302e-04	-3.08056260e-04	1.27958063e+03	1.26380940e+03	1.45770559e+03	9.63828550e-01	2.61714496e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG	typical	125	min	max	-9.41432873e-04	-3.47247739e-04	-3.11754243e-04	-3.82581830e-04	1.26190622e+03	1.19741600e+03	1.41187924e+03	1.16319832e+00	2.48016751e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG	typical	125	max	min	-7.73808098e-04	-2.73775552e-04	-2.38527161e-04	-3.07901642e-04	1.27938697e+03	1.26563529e+03	1.44145223e+03	9.61067148e-01	2.89328516e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG	typical	125	max	max	-9.41549314e-04	-3.44597458e-04	-3.07917241e-04	-3.81134737e-04	1.26175016e+03	1.20662527e+03	1.36579376e+03	1.16071028e+00	2.72897178e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG	typical	125	nom	nom	-8.63060427e-04	-3.11474788e-04	-2.75726541e-04	-3.46844134e-04	1.27453416e+03	1.23605510e+03	1.40612184e+03	1.07312783e+00	2.68721745e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFAG	typical	-40	min	min	-5.13384873e-04	-1.76671236e-04	-1.51036757e-04	-2.02365169e-04	1.92837782e+03	1.96127002e+03	1.94823870e+03	9.89532969e-01	4.67030572e-04	-4.00000000e+01	1.00000000e+00																																																																																									
FFAG	typical	-40	min	max	-6.25389801e-04	-2.14571875e-04	-1.88573256e-04	-2.40662365e-04	1.89961525e+03	1.93781221e+03	1.91978710e+03	1.18751501e+00	4.84985622e-04	-4.00000000e+01	1.00000000e+00																																																																																									
FFAG	typical	-40	max	min	-5.13440038e-04	-1.76663429e-04	-1.51019964e-04	-2.02362349e-04	1.92817063e+03	1.96135670e+03	1.94770850e+03	9.89327790e-01	6.72210000e-04	-4.00000000e+01	1.00000000e+00																																																																																									
